,households,latitude,longitude,median_house_value,median_income,ocean_proximity,population,total_bedrooms,total_rooms,House_Age
0,126,37.88,-122.23,452600,8.3252,3,322,129.0,880,1
1,1138,37.86,-122.22,358500,8.3014,3,2401,1106.0,7099,1
2,177,37.85,-122.24,352100,7.2574,3,496,190.0,1467,1
3,219,37.85,-122.25,341300,5.6431,3,558,235.0,1274,1
4,259,37.85,-122.25,342200,3.8462,3,565,280.0,1627,1
5,193,37.85,-122.25,269700,4.0368,3,413,213.0,919,1
6,514,37.84,-122.25,299200,3.6591,3,1094,489.0,2535,1
7,647,37.84,-122.25,241400,3.12,3,1157,687.0,3104,1
8,595,37.84,-122.26,226700,2.0804,3,1206,665.0,2555,1
9,714,37.84,-122.25,261100,3.6912,3,1551,707.0,3549,1
10,402,37.85,-122.26,281500,3.2031,3,910,434.0,2202,1
11,734,37.85,-122.26,241800,3.2705,3,1504,752.0,3503,1
12,468,37.85,-122.26,213500,3.075,3,1098,474.0,2491,1
13,174,37.84,-122.26,191300,2.6736,3,345,191.0,696,1
14,620,37.85,-122.26,159200,1.9167,3,1212,626.0,2643,1
15,264,37.85,-122.26,140000,2.125,3,697,283.0,1120,1
16,331,37.85,-122.27,152500,2.775,3,793,347.0,1966,1
17,303,37.85,-122.27,155500,2.1202,3,648,293.0,1228,1
18,419,37.84,-122.26,158700,1.9911,3,990,455.0,2239,1
19,275,37.84,-122.27,162900,2.6033,3,690,298.0,1503,1
20,166,37.85,-122.27,147500,1.3578,3,409,184.0,751,1
21,366,37.85,-122.27,159800,1.7135,3,929,367.0,1639,1
22,478,37.84,-122.27,113900,1.725,3,1015,541.0,2436,1
23,325,37.84,-122.27,99700,2.1806,3,853,337.0,1688,1
24,422,37.84,-122.27,132600,2.6,3,1006,437.0,2224,1
25,119,37.85,-122.28,107500,2.4038,3,317,123.0,535,1
26,239,37.85,-122.28,93800,2.4597,3,607,244.0,1130,1
27,397,37.85,-122.28,105500,1.808,3,1102,421.0,1898,1
28,473,37.84,-122.28,108900,1.6424,3,1131,492.0,2082,1
29,155,37.84,-122.28,132000,1.6875,3,395,160.0,729,1
30,378,37.84,-122.28,122300,1.9274,3,863,447.0,1916,1
31,441,37.84,-122.28,115200,1.9615,3,1168,481.0,2153,1
32,335,37.84,-122.27,110400,1.7969,3,1026,409.0,1922,1
33,329,37.83,-122.27,104900,1.375,3,754,366.0,1655,1
34,536,37.83,-122.27,109700,2.7303,3,1258,574.0,2665,1
35,264,37.83,-122.27,97200,1.4861,3,570,282.0,1215,1
36,374,37.83,-122.27,104500,1.0972,3,987,432.0,1798,1
37,403,37.83,-122.28,103900,1.4103,3,901,390.0,1511,1
38,309,37.83,-122.26,191400,3.48,3,689,330.0,1470,1
39,696,37.83,-122.26,176000,2.5898,3,1377,715.0,2432,1
40,395,37.83,-122.26,155400,2.0978,3,946,419.0,1665,1
41,249,37.83,-122.26,150000,1.2852,3,517,311.0,936,1
42,189,37.84,-122.26,118800,1.025,3,462,202.0,713,1
43,198,37.84,-122.26,188800,3.9643,3,467,202.0,950,1
44,292,37.83,-122.26,184400,3.0125,3,660,311.0,1443,1
45,382,37.83,-122.26,182300,2.6768,3,718,420.0,1656,1
46,304,37.83,-122.26,142500,2.026,3,616,322.0,1125,1
47,253,37.82,-122.27,137500,1.7348,3,558,312.0,1007,1
48,160,37.82,-122.26,187500,0.9506,3,423,195.0,624,1
49,352,37.82,-122.27,112500,1.775,3,700,375.0,946,1
50,438,37.82,-122.27,171900,0.9218,3,735,453.0,896,1
51,407,37.82,-122.27,93800,1.5045,3,1061,456.0,1868,1
52,720,37.82,-122.27,97500,1.1108,3,1959,853.0,3221,1
53,400,37.82,-122.27,104200,1.2475,3,1162,456.0,1630,1
54,233,37.82,-122.28,87500,1.6098,3,701,235.0,1170,1
55,220,37.82,-122.28,83100,1.4113,3,576,243.0,945,1
56,259,37.82,-122.28,87500,1.5057,3,622,288.0,1238,1
57,244,37.82,-122.28,85300,0.8172,3,728,335.0,1489,1
58,304,37.82,-122.28,80300,1.2171,3,1074,341.0,1387,1
59,57,37.82,-122.29,60000,2.5625,3,94,43.0,158,0
60,187,37.83,-122.29,75700,3.3929,3,554,211.0,1121,1
61,23,37.82,-122.29,75000,6.1183,3,86,29.0,135,1
62,122,37.81,-122.29,86100,0.9011,3,377,190.0,760,1
63,159,37.81,-122.3,76100,1.191,3,521,237.0,1224,1
64,133,37.81,-122.3,73500,2.5938,3,392,182.0,828,1
65,187,37.81,-122.3,78400,1.1667,3,604,209.0,1010,1
66,332,37.81,-122.3,84400,0.8056,3,788,354.0,1455,1
67,147,37.8,-122.29,81300,2.6094,3,492,244.0,1027,1
68,82,37.81,-122.3,85000,1.8516,3,274,109.0,572,1
69,611,37.81,-122.29,129200,0.9802,3,1823,644.0,2801,1
70,127,37.81,-122.29,82500,1.7719,3,392,152.0,768,1
71,277,37.81,-122.29,95200,0.7286,3,582,297.0,935,1
72,152,37.81,-122.29,75000,1.75,3,560,204.0,844,1
73,7,37.81,-122.29,67500,0.4999,3,18,4.0,12,1
74,133,37.81,-122.29,137500,2.483,3,290,161.0,835,1
75,439,37.81,-122.28,177500,0.9241,3,762,462.0,1237,1
76,509,37.81,-122.28,102100,2.4464,3,1236,562.0,2914,1
77,207,37.81,-122.28,108300,1.1111,3,721,243.0,1207,1
78,325,37.81,-122.29,112500,0.8026,3,1054,374.0,1745,1
79,155,37.8,-122.28,131300,2.0114,3,344,176.0,684,1
80,289,37.81,-122.28,162500,1.5,3,609,289.0,924,1
81,56,37.81,-122.27,112500,1.1667,3,183,56.0,210,1
82,87,37.81,-122.28,112500,1.5208,3,200,97.0,340,1
83,155,37.81,-122.28,137500,0.8075,3,346,164.0,386,1
84,169,37.81,-122.28,118800,1.8088,3,467,184.0,948,1
85,115,37.81,-122.28,98200,2.4083,3,377,143.0,773,1
86,380,37.81,-122.27,118800,0.977,3,582,451.0,880,1
87,330,37.81,-122.27,162500,0.76,3,546,348.0,875,0
88,39,37.8,-122.27,137500,0.9722,3,125,42.0,105,0
89,85,37.8,-122.27,500001,1.2434,3,396,78.0,249,1
90,362,37.8,-122.27,162500,2.0938,3,800,392.0,994,1
91,88,37.8,-122.28,137500,0.8668,3,904,87.0,215,1
92,34,37.8,-122.28,162500,0.75,3,191,31.0,96,1
93,302,37.79,-122.27,187500,2.6354,3,718,347.0,1055,1
94,467,37.8,-122.27,179200,1.8477,3,1327,623.0,1715,1
95,2323,37.8,-122.26,130000,2.0096,3,3469,2477.0,5329,1
96,1180,37.82,-122.26,183800,2.8345,3,2048,1331.0,4596,1
97,91,37.81,-122.26,125000,2.0062,3,202,107.0,335,1
